feature,importance_mean,importance_std
bmi_age_interaction,0.04282857462058307,0.004237771180491246
waist_age_interaction,0.039763814774328464,0.0043307791495454575
waist_height_ratio,0.02894369291256236,0.003117973733196609
age,0.01817990146033993,0.003318752584342087
sex_male,0.012018078770037188,0.0017106721787241868
bmi,0.0024551594893511665,0.0013907289533856984
total_active_days,0.0007165717105861114,0.000779306964493495
meets_activity_guidelines,0.0,0.0
sleep_hours,0.0,0.0
short_sleep,0.0,0.0
high_waist_height_ratio,-4.547810693721344e-05,0.00015449212554168726
current_smoker,-0.0001841505976102553,0.0003275753031324556
age_squared,-0.00029567352361670185,0.0005313496380264654
cigarettes_per_day,-0.00030891446128574753,0.0006359745340282112
ever_smoker,-0.0005422107551021571,0.0002336624986489408
